model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted
DeepLearning_1_AutoML_2_20251028_151348,0.8804347826086957,0.8742228598756576,0.9422525107604017,0.9533525587813966,0.8636363636363636,0.8845208845208845,0.8804347826086957,0.8822508279030019,0.9313725490196079,0.8742228598756576,0.8804347826086957,0.8804347826086957,0.8962264150943396,0.8776003870343493,0.8804347826086957,0.8796249553017396
DeepLearning_grid_1_AutoML_2_20251028_151348_model_1,0.907608695652174,0.9071018651362984,0.9405786704925873,0.9363495785106529,0.9207920792079208,0.9061791721340808,0.907608695652174,0.9077675315986287,0.9117647058823529,0.9071018651362984,0.907608695652174,0.907608695652174,0.916256157635468,0.9066129273025825,0.907608695652174,0.9076611045126787
DeepLearning_grid_1_AutoML_2_20251028_151348_model_2,0.907608695652174,0.9035150645624104,0.9378287900526063,0.9306543414854382,0.897196261682243,0.9096370918800825,0.907608695652174,0.9082848277281436,0.9411764705882353,0.9035150645624104,0.907608695652174,0.907608695652174,0.9186602870813397,0.9058710240438146,0.907608695652174,0.907261161330502
DeepLearning_grid_2_AutoML_2_20251028_151348_model_1,0.9021739130434783,0.9021999043519847,0.9487087517934002,0.9520329140892418,0.92,0.9004761904761904,0.9021739130434783,0.9025983436853002,0.9019607843137255,0.9021999043519847,0.9021739130434783,0.9021739130434783,0.9108910891089109,0.9012286770845759,0.9021739130434783,0.9022789392611341
DeepLearning_grid_2_AutoML_2_20251028_151348_model_2,0.8532608695652174,0.8580822572931612,0.9365136298421808,0.939916866753689,0.9120879120879121,0.8538934184095475,0.8532608695652174,0.860218906852848,0.8137254901960784,0.8580822572931612,0.8532608695652174,0.8532608695652174,0.8601036269430051,0.8529089563286454,0.8532608695652174,0.8536909857432498
DeepLearning_grid_3_AutoML_2_20251028_151348_model_1,0.907608695652174,0.9047106647537064,0.9515781922525108,0.954340398731233,0.9047619047619048,0.9080771549125979,0.907608695652174,0.9077168016353488,0.9313725490196079,0.9047106647537064,0.907608695652174,0.907608695652174,0.9178743961352657,0.9061421670117322,0.907608695652174,0.9074174093077684
DeepLearning_grid_3_AutoML_2_20251028_151348_model_2,0.9021739130434783,0.9021999043519847,0.93675274988044,0.9259809082835446,0.92,0.9004761904761904,0.9021739130434783,0.9025983436853002,0.9019607843137255,0.9021999043519847,0.9021739130434783,0.9021739130434783,0.9108910891089109,0.9012286770845759,0.9021739130434783,0.9022789392611341
DRF_1_AutoML_2_20251028_151348,0.8641304347826086,0.8523433763749402,0.9344213295074126,0.9277868022026745,0.8235294117647058,0.8809954751131222,0.8641304347826086,0.8747491638795986,0.9607843137254902,0.8523433763749402,0.8641304347826086,0.8641304347826086,0.8868778280542986,0.8584049004217071,0.8641304347826086,0.8614997838600322
GBM_1_AutoML_2_20251028_151348,0.8967391304347826,0.8913199426111909,0.9256336681013869,0.9157719212641295,0.8807339449541285,0.9003669724770642,0.8967391304347826,0.8982329477463104,0.9411764705882353,0.8913199426111909,0.8967391304347826,0.8967391304347826,0.909952606635071,0.8944667491774081,0.8967391304347826,0.896149994553241
GBM_2_AutoML_2_20251028_151348,0.8695652173913043,0.8715925394548063,0.924079387852702,0.92157846016749,0.90625,0.8678977272727273,0.8695652173913043,0.87206645256917,0.8529411764705882,0.8715925394548063,0.8695652173913043,0.8695652173913043,0.8787878787878788,0.8688057040998217,0.8695652173913043,0.869890723087654
GBM_3_AutoML_2_20251028_151348,0.8804347826086957,0.8790052606408417,0.9353180296508847,0.9346536284975142,0.8921568627450981,0.8790052606408417,0.8804347826086957,0.8804347826086957,0.8921568627450981,0.8790052606408417,0.8804347826086957,0.8804347826086957,0.8921568627450981,0.8790052606408417,0.8804347826086957,0.8804347826086957
GBM_4_AutoML_2_20251028_151348,0.8804347826086957,0.8790052606408417,0.9286226685796269,0.930948224904619,0.8921568627450981,0.8790052606408417,0.8804347826086957,0.8804347826086957,0.8921568627450981,0.8790052606408417,0.8804347826086957,0.8804347826086957,0.8921568627450981,0.8790052606408417,0.8804347826086957,0.8804347826086957
GBM_5_AutoML_2_20251028_151348,0.9021739130434783,0.9010043041606887,0.9244380679100909,0.9132939158081306,0.9117647058823529,0.9010043041606887,0.9021739130434783,0.9021739130434783,0.9117647058823529,0.9010043041606887,0.9021739130434783,0.9021739130434783,0.9117647058823529,0.9010043041606887,0.9021739130434783,0.9021739130434783
GBM_grid_1_AutoML_2_20251028_151348_model_1,0.8858695652173914,0.8862984218077474,0.930416068866571,0.936492262934262,0.9090909090909091,0.8839572192513369,0.8858695652173914,0.886689142059986,0.8823529411764706,0.8862984218077474,0.8858695652173914,0.8858695652173914,0.8955223880597015,0.8848869425328447,0.8858695652173914,0.8860429692205465
GBM_grid_1_AutoML_2_20251028_151348_model_2,0.8967391304347826,0.8937111429937828,0.9322094691535151,0.9344026250656235,0.8952380952380953,0.8969861362266426,0.8967391304347826,0.8967961317713657,0.9215686274509803,0.8937111429937828,0.8967391304347826,0.8967391304347826,0.9082125603864735,0.8951000690131126,0.8967391304347826,0.8965253398145647
GBM_grid_1_AutoML_2_20251028_151348_model_3,0.8967391304347826,0.897297943567671,0.9259923481587756,0.9219901371556536,0.9191919191919192,0.8948900772430184,0.8967391304347826,0.8975315818026816,0.8921568627450981,0.897297943567671,0.8967391304347826,0.8967391304347826,0.9054726368159204,0.89585009086305,0.8967391304347826,0.8968960197709706
GBM_grid_1_AutoML_2_20251028_151348_model_4,0.8913043478260869,0.8852223816355811,0.9343615494978479,0.93194729846116,0.8727272727272727,0.8958230958230958,0.8913043478260869,0.893312680269202,0.9411764705882353,0.8852223816355811,0.8913043478260869,0.8913043478260869,0.9056603773584906,0.8887276245766812,0.8913043478260869,0.8905681411833996
GBM_grid_1_AutoML_2_20251028_151348_model_5,0.8858695652173914,0.8839072214251554,0.9279053084648493,0.9279890880975088,0.8932038834951457,0.8848735466858444,0.8858695652173914,0.8857790180781597,0.9019607843137255,0.8839072214251554,0.8858695652173914,0.8858695652173914,0.8975609756097561,0.8843633098907676,0.8858695652173914,0.8857978387732663
GLM_1_AutoML_2_20251028_151348,0.8641304347826086,0.8559301769488283,0.9313725490196079,0.9380879250135725,0.8407079646017699,0.8710582076529976,0.8641304347826086,0.8677592681909078,0.9313725490196079,0.8559301769488283,0.8641304347826086,0.8641304347826086,0.8837209302325582,0.8601611187110503,0.8641304347826086,0.8627219677894751
StackedEnsemble_AllModels_1_AutoML_2_20251028_151348,0.9130434782608695,0.9120038259206121,0.9401004304160689,0.9399074084761272,0.9215686274509803,0.9120038259206121,0.9130434782608695,0.9130434782608695,0.9215686274509803,0.9120038259206121,0.9130434782608695,0.9130434782608695,0.9215686274509803,0.9120038259206121,0.9130434782608695,0.9130434782608695
StackedEnsemble_BestOfFamily_1_AutoML_2_20251028_151348,0.8967391304347826,0.897297943567671,0.938546150167384,0.9376755019704006,0.9191919191919192,0.8948900772430184,0.8967391304347826,0.8975315818026816,0.8921568627450981,0.897297943567671,0.8967391304347826,0.8967391304347826,0.9054726368159204,0.89585009086305,0.8967391304347826,0.8968960197709706
XRT_1_AutoML_2_20251028_151348,0.8913043478260869,0.8876135820181731,0.922584887613582,0.8990499734528299,0.8867924528301887,0.892114175133043,0.8913043478260869,0.8915357270566457,0.9215686274509803,0.8876135820181731,0.8913043478260869,0.8913043478260869,0.9038461538461539,0.8894230769230769,0.8913043478260869,0.8909908026755852
